date,latitude,longitude,temperature_2m,precipitation,wind_gusts_10m,cape
2025-02-02 00:00:00+00:00,40.33,-3.85,3.0695,0.0,11.159999,0.0
2025-02-02 01:00:00+00:00,40.33,-3.85,3.3695,0.0,12.599999,0.0
2025-02-02 02:00:00+00:00,40.33,-3.85,2.4195,0.0,6.4799995,0.0
2025-02-02 03:00:00+00:00,40.33,-3.85,1.4195,0.0,10.440001,0.0
2025-02-02 04:00:00+00:00,40.33,-3.85,1.9195,0.0,8.28,0.0
2025-02-02 05:00:00+00:00,40.33,-3.85,2.1695,0.0,5.7599998,0.0
2025-02-02 06:00:00+00:00,40.33,-3.85,1.7695,0.0,7.92,0.0
2025-02-02 07:00:00+00:00,40.33,-3.85,2.0695,0.0,12.24,0.0
2025-02-02 08:00:00+00:00,40.33,-3.85,1.8195,0.0,12.599999,0.0
2025-02-02 09:00:00+00:00,40.33,-3.85,2.8695,0.0,12.24,0.0
2025-02-02 10:00:00+00:00,40.33,-3.85,4.2194996,0.0,9.0,0.0
2025-02-02 11:00:00+00:00,40.33,-3.85,6.0195,0.0,10.440001,0.0
2025-02-02 12:00:00+00:00,40.33,-3.85,7.6194997,0.0,20.16,0.0
2025-02-02 13:00:00+00:00,40.33,-3.85,9.0695,0.0,18.72,0.0
2025-02-02 14:00:00+00:00,40.33,-3.85,10.2695,0.0,22.68,10.0
2025-02-02 15:00:00+00:00,40.33,-3.85,9.8695,0.0,24.119999,20.0
2025-02-02 16:00:00+00:00,40.33,-3.85,9.6195,0.0,32.399998,10.0
2025-02-02 17:00:00+00:00,40.33,-3.85,9.0695,0.0,37.44,0.0
2025-02-02 18:00:00+00:00,40.33,-3.85,7.8195,0.0,21.24,30.0
2025-02-02 19:00:00+00:00,40.33,-3.85,7.0195,0.0,9.0,70.0
2025-02-02 20:00:00+00:00,40.33,-3.85,6.5695,0.0,5.04,110.0
2025-02-02 21:00:00+00:00,40.33,-3.85,6.3195,0.0,7.5599995,40.0
2025-02-02 22:00:00+00:00,40.33,-3.85,6.0195,0.0,17.64,30.0
2025-02-02 23:00:00+00:00,40.33,-3.85,5.5695,0.0,23.039999,40.0
2025-02-03 00:00:00+00:00,40.33,-3.85,5.8694997,0.0,34.92,30.0
2025-02-03 01:00:00+00:00,40.33,-3.85,5.4694996,0.0,35.64,30.0
2025-02-03 02:00:00+00:00,40.33,-3.85,5.0195,0.0,35.64,20.0
2025-02-03 03:00:00+00:00,40.33,-3.85,4.3195,0.0,30.239998,20.0
2025-02-03 04:00:00+00:00,40.33,-3.85,3.6695,0.0,31.319998,20.0
2025-02-03 05:00:00+00:00,40.33,-3.85,3.2195,0.0,31.68,0.0
2025-02-03 06:00:00+00:00,40.33,-3.85,3.0195,0.0,29.88,0.0
2025-02-03 07:00:00+00:00,40.33,-3.85,2.9195,0.0,25.919998,0.0
2025-02-03 08:00:00+00:00,40.33,-3.85,2.9195,0.0,24.48,0.0
2025-02-03 09:00:00+00:00,40.33,-3.85,4.4694996,0.0,23.039999,0.0
2025-02-03 10:00:00+00:00,40.33,-3.85,6.3694997,0.0,28.08,0.0
2025-02-03 11:00:00+00:00,40.33,-3.85,7.5695,0.0,30.599998,0.0
2025-02-03 12:00:00+00:00,40.33,-3.85,8.7695,0.0,30.960001,20.0
2025-02-03 13:00:00+00:00,40.33,-3.85,9.5195,0.0,28.44,0.0
2025-02-03 14:00:00+00:00,40.33,-3.85,10.2695,0.0,24.84,0.0
2025-02-03 15:00:00+00:00,40.33,-3.85,10.8695,0.0,19.8,0.0
2025-02-03 16:00:00+00:00,40.33,-3.85,10.9695,0.0,18.359999,0.0
2025-02-03 17:00:00+00:00,40.33,-3.85,10.2695,0.0,19.8,0.0
2025-02-03 18:00:00+00:00,40.33,-3.85,8.3195,0.0,15.4800005,0.0
2025-02-03 19:00:00+00:00,40.33,-3.85,6.8195,0.0,12.24,0.0
2025-02-03 20:00:00+00:00,40.33,-3.85,5.9694996,0.0,12.959999,0.0
2025-02-03 21:00:00+00:00,40.33,-3.85,5.4195,0.0,15.119999,0.0
2025-02-03 22:00:00+00:00,40.33,-3.85,5.0695,0.0,17.28,0.0
2025-02-03 23:00:00+00:00,40.33,-3.85,5.0195,0.0,18.359999,0.0
